recording_id,participant_id,class,sensor,relative_path,n_samples,units_xyz
R001,P01,bumpy,Accelerometer,P01/R001/Accelerometer.csv,4170,m/s²
R001,P01,bumpy,Gyroscope,P01/R001/Gyroscope.csv,4170,rad/s
R001,P01,bumpy,Gravity,P01/R001/Gravity.csv,4170,m/s²
R002,P01,bumpy,Accelerometer,P01/R002/Accelerometer.csv,4268,m/s²
R002,P01,bumpy,Gyroscope,P01/R002/Gyroscope.csv,4268,rad/s
R002,P01,bumpy,Gravity,P01/R002/Gravity.csv,4268,m/s²
R003,P01,bumpy,Accelerometer,P01/R003/Accelerometer.csv,5098,m/s²
R003,P01,bumpy,Gyroscope,P01/R003/Gyroscope.csv,5098,rad/s
R003,P01,bumpy,Gravity,P01/R003/Gravity.csv,5098,m/s²
R004,P01,bumpy,Accelerometer,P01/R004/Accelerometer.csv,3855,m/s²
R004,P01,bumpy,Gyroscope,P01/R004/Gyroscope.csv,3855,rad/s
R004,P01,bumpy,Gravity,P01/R004/Gravity.csv,3855,m/s²
R005,P01,bumpy,Accelerometer,P01/R005/Accelerometer.csv,4268,m/s²
R005,P01,bumpy,Gyroscope,P01/R005/Gyroscope.csv,4268,rad/s
R005,P01,bumpy,Gravity,P01/R005/Gravity.csv,4268,m/s²
R006,P01,bumpy,Accelerometer,P01/R006/Accelerometer.csv,5610,m/s²
R006,P01,bumpy,Gyroscope,P01/R006/Gyroscope.csv,5610,rad/s
R006,P01,bumpy,Gravity,P01/R006/Gravity.csv,5610,m/s²
R007,P01,bumpy,Accelerometer,P01/R007/Accelerometer.csv,4584,m/s²
R007,P01,bumpy,Gyroscope,P01/R007/Gyroscope.csv,4584,rad/s
R007,P01,bumpy,Gravity,P01/R007/Gravity.csv,4584,m/s²
R008,P01,bumpy,Accelerometer,P01/R008/Accelerometer.csv,3229,m/s²
R008,P01,bumpy,Gyroscope,P01/R008/Gyroscope.csv,3229,rad/s
R008,P01,bumpy,Gravity,P01/R008/Gravity.csv,3229,m/s²
R009,P01,bumpy,Accelerometer,P01/R009/Accelerometer.csv,5303,m/s²
R009,P01,bumpy,Gyroscope,P01/R009/Gyroscope.csv,5303,rad/s
R009,P01,bumpy,Gravity,P01/R009/Gravity.csv,5303,m/s²
R010,P01,bumpy,Accelerometer,P01/R010/Accelerometer.csv,4873,m/s²
R010,P01,bumpy,Gyroscope,P01/R010/Gyroscope.csv,4873,rad/s
R010,P01,bumpy,Gravity,P01/R010/Gravity.csv,4873,m/s²
R011,P01,bumpy,Accelerometer,P01/R011/Accelerometer.csv,3750,m/s²
R011,P01,bumpy,Gyroscope,P01/R011/Gyroscope.csv,3750,rad/s
R011,P01,bumpy,Gravity,P01/R011/Gravity.csv,3750,m/s²
R012,P01,bumpy,Accelerometer,P01/R012/Accelerometer.csv,4475,m/s²
R012,P01,bumpy,Gyroscope,P01/R012/Gyroscope.csv,4475,rad/s
R012,P01,bumpy,Gravity,P01/R012/Gravity.csv,4475,m/s²
R013,P02,smooth,Accelerometer,P02/R013/Accelerometer.csv,5209,m/s²
R013,P02,smooth,Gyroscope,P02/R013/Gyroscope.csv,5209,rad/s
R013,P02,smooth,Gravity,P02/R013/Gravity.csv,5209,m/s²
R014,P02,smooth,Accelerometer,P02/R014/Accelerometer.csv,5189,m/s²
R014,P02,smooth,Gyroscope,P02/R014/Gyroscope.csv,5189,rad/s
R014,P02,smooth,Gravity,P02/R014/Gravity.csv,5189,m/s²
R015,P02,smooth,Accelerometer,P02/R015/Accelerometer.csv,4462,m/s²
R015,P02,smooth,Gyroscope,P02/R015/Gyroscope.csv,4462,rad/s
R015,P02,smooth,Gravity,P02/R015/Gravity.csv,4462,m/s²
R016,P02,smooth,Accelerometer,P02/R016/Accelerometer.csv,5057,m/s²
R016,P02,smooth,Gyroscope,P02/R016/Gyroscope.csv,5057,rad/s
R016,P02,smooth,Gravity,P02/R016/Gravity.csv,5057,m/s²
R017,P02,smooth,Accelerometer,P02/R017/Accelerometer.csv,4121,m/s²
R017,P02,smooth,Gyroscope,P02/R017/Gyroscope.csv,4121,rad/s
R017,P02,smooth,Gravity,P02/R017/Gravity.csv,4121,m/s²
R018,P02,smooth,Accelerometer,P02/R018/Accelerometer.csv,4592,m/s²
R018,P02,smooth,Gyroscope,P02/R018/Gyroscope.csv,4592,rad/s
R018,P02,smooth,Gravity,P02/R018/Gravity.csv,4592,m/s²
R019,P02,smooth,Accelerometer,P02/R019/Accelerometer.csv,5065,m/s²
R019,P02,smooth,Gyroscope,P02/R019/Gyroscope.csv,5065,rad/s
R019,P02,smooth,Gravity,P02/R019/Gravity.csv,5065,m/s²
R020,P02,smooth,Accelerometer,P02/R020/Accelerometer.csv,4862,m/s²
R020,P02,smooth,Gyroscope,P02/R020/Gyroscope.csv,4863,rad/s
R020,P02,smooth,Gravity,P02/R020/Gravity.csv,4863,m/s²
R021,P02,smooth,Accelerometer,P02/R021/Accelerometer.csv,4966,m/s²
R021,P02,smooth,Gyroscope,P02/R021/Gyroscope.csv,4966,rad/s
