recording_id,participant_id,class,sensor,input_samples,output_samples,sample_count_change,action
R001,P01,bumpy,Accelerometer,4170,4170,0,complete recording preserved
R001,P01,bumpy,Gyroscope,4170,4170,0,complete recording preserved
R001,P01,bumpy,Gravity,4170,4170,0,complete recording preserved
R002,P01,bumpy,Accelerometer,4268,4268,0,complete recording preserved
R002,P01,bumpy,Gyroscope,4268,4268,0,complete recording preserved
R002,P01,bumpy,Gravity,4268,4268,0,complete recording preserved
R003,P01,bumpy,Accelerometer,5098,5098,0,complete recording preserved
R003,P01,bumpy,Gyroscope,5098,5098,0,complete recording preserved
R003,P01,bumpy,Gravity,5098,5098,0,complete recording preserved
R004,P01,bumpy,Accelerometer,3855,3855,0,complete recording preserved
R004,P01,bumpy,Gyroscope,3855,3855,0,complete recording preserved
R004,P01,bumpy,Gravity,3855,3855,0,complete recording preserved
R005,P01,bumpy,Accelerometer,4268,4268,0,complete recording preserved
R005,P01,bumpy,Gyroscope,4268,4268,0,complete recording preserved
R005,P01,bumpy,Gravity,4268,4268,0,complete recording preserved
R006,P01,bumpy,Accelerometer,5610,5610,0,complete recording preserved
R006,P01,bumpy,Gyroscope,5610,5610,0,complete recording preserved
R006,P01,bumpy,Gravity,5610,5610,0,complete recording preserved
R007,P01,bumpy,Accelerometer,4584,4584,0,complete recording preserved
R007,P01,bumpy,Gyroscope,4584,4584,0,complete recording preserved
R007,P01,bumpy,Gravity,4584,4584,0,complete recording preserved
R008,P01,bumpy,Accelerometer,3229,3229,0,complete recording preserved
R008,P01,bumpy,Gyroscope,3229,3229,0,complete recording preserved
R008,P01,bumpy,Gravity,3229,3229,0,complete recording preserved
R009,P01,bumpy,Accelerometer,5303,5303,0,complete recording preserved
R009,P01,bumpy,Gyroscope,5303,5303,0,complete recording preserved
R009,P01,bumpy,Gravity,5303,5303,0,complete recording preserved
R010,P01,bumpy,Accelerometer,4873,4873,0,complete recording preserved
R010,P01,bumpy,Gyroscope,4873,4873,0,complete recording preserved
R010,P01,bumpy,Gravity,4873,4873,0,complete recording preserved
R011,P01,bumpy,Accelerometer,3750,3750,0,complete recording preserved
R011,P01,bumpy,Gyroscope,3750,3750,0,complete recording preserved
R011,P01,bumpy,Gravity,3750,3750,0,complete recording preserved
R012,P01,bumpy,Accelerometer,4475,4475,0,complete recording preserved
R012,P01,bumpy,Gyroscope,4475,4475,0,complete recording preserved
R012,P01,bumpy,Gravity,4475,4475,0,complete recording preserved
R013,P02,smooth,Accelerometer,5209,5209,0,complete recording preserved
R013,P02,smooth,Gyroscope,5209,5209,0,complete recording preserved
R013,P02,smooth,Gravity,5209,5209,0,complete recording preserved
R014,P02,smooth,Accelerometer,5189,5189,0,complete recording preserved
R014,P02,smooth,Gyroscope,5189,5189,0,complete recording preserved
R014,P02,smooth,Gravity,5189,5189,0,complete recording preserved
R015,P02,smooth,Accelerometer,4462,4462,0,complete recording preserved
R015,P02,smooth,Gyroscope,4462,4462,0,complete recording preserved
R015,P02,smooth,Gravity,4462,4462,0,complete recording preserved
R016,P02,smooth,Accelerometer,5057,5057,0,complete recording preserved
R016,P02,smooth,Gyroscope,5057,5057,0,complete recording preserved
R016,P02,smooth,Gravity,5057,5057,0,complete recording preserved
R017,P02,smooth,Accelerometer,4121,4121,0,complete recording preserved
R017,P02,smooth,Gyroscope,4121,4121,0,complete recording preserved
R017,P02,smooth,Gravity,4121,4121,0,complete recording preserved
R018,P02,smooth,Accelerometer,4592,4592,0,complete recording preserved
R018,P02,smooth,Gyroscope,4592,4592,0,complete recording preserved
R018,P02,smooth,Gravity,4592,4592,0,complete recording preserved
R019,P02,smooth,Accelerometer,5065,5065,0,complete recording preserved
R019,P02,smooth,Gyroscope,5065,5065,0,complete recording preserved
R019,P02,smooth,Gravity,5065,5065,0,complete recording preserved
R020,P02,smooth,Accelerometer,4862,4862,0,complete recording preserved
R020,P02,smooth,Gyroscope,4863,4863,0,complete recording preserved
R020,P02,smooth,Gravity,4863,4863,0,complete recording preserved
R021,P02,smooth,Accelerometer,4966,4966,0,complete recording preserved
R021,P02,smooth,Gyroscope,4966,4966,0,complete recording preserved
R021,P02,smooth,Gravity,4966,4966,0,complete recording preserved
R022,P02,smooth,Accelerometer,5121,5121,0,complete recording preserved
R022,P02,smooth,Gyroscope,5121,5121,0,complete recording preserved
R022,P02,smooth,Gravity,5121,5121,0,complete recording preserved
R023,P02,smooth,Accelerometer,4949,4949,0,complete recording preserved
R023,P02,smooth,Gyroscope,4949,4949,0,complete recording preserved
R023,P02,smooth,Gravity,4949,4949,0,complete recording preserved
R024,P02,smooth,Accelerometer,4784,4784,0,complete recording preserved
R024,P02,smooth,Gyroscope,4784,4784,0,complete recording preserved
R024,P02,smooth,Gravity,4784,4784,0,complete recording preserved
R025,P01,smooth,Accelerometer,4993,4993,0,complete recording preserved
R025,P01,smooth,Gyroscope,4993,4993,0,complete recording preserved
R025,P01,smooth,Gravity,4993,4993,0,complete recording preserved
R026,P01,smooth,Accelerometer,4998,4998,0,complete recording preserved
R026,P01,smooth,Gyroscope,4998,4998,0,complete recording preserved
R026,P01,smooth,Gravity,4998,4998,0,complete recording preserved
R027,P01,smooth,Accelerometer,4169,4169,0,complete recording preserved
R027,P01,smooth,Gyroscope,4169,4169,0,complete recording preserved
R027,P01,smooth,Gravity,4169,4169,0,complete recording preserved
R028,P01,smooth,Accelerometer,3750,3750,0,complete recording preserved
R028,P01,smooth,Gyroscope,3750,3750,0,complete recording preserved
R028,P01,smooth,Gravity,3750,3750,0,complete recording preserved
R029,P01,smooth,Accelerometer,4790,4790,0,complete recording preserved
R029,P01,smooth,Gyroscope,4790,4790,0,complete recording preserved
R029,P01,smooth,Gravity,4790,4790,0,complete recording preserved
R030,P01,smooth,Accelerometer,4215,4215,0,complete recording preserved
R030,P01,smooth,Gyroscope,4215,4215,0,complete recording preserved
R030,P01,smooth,Gravity,4215,4215,0,complete recording preserved
R031,P01,smooth,Accelerometer,3761,3761,0,complete recording preserved
R031,P01,smooth,Gyroscope,3761,3761,0,complete recording preserved
R031,P01,smooth,Gravity,3761,3761,0,complete recording preserved
