recording_id,source_folder
R001,bumpy/lars/cb_2_bumpy_lars
R002,bumpy/lars/cb_3_bumpy_lars
R003,bumpy/lars/cb_4_bumpy_lars
R004,bumpy/lars/cb_5_bumpy_lars
R005,bumpy/lars/cb_6_bumpy
R006,bumpy/lars/cb_7_bumpy_lars
R007,bumpy/lars/cb_bumpy_lars
R008,bumpy/lars/helmond_1_bumpy_lars
R009,bumpy/lars/helmond_2_bumpy_lars
R010,bumpy/lars/helmond_3_bumpy_lars
R011,bumpy/lars/onder_de_brug_-_lars_-_bumpy_-_1
R012,bumpy/lars/stratumsedijk_-_bumpy_-_lars
R013,smooth/brian/ssc_test_1
R014,smooth/brian/ssc_test_2
R015,smooth/brian/tu_e_south_1
R016,smooth/brian/tu_e_south_10
R017,smooth/brian/tu_e_south_2
R018,smooth/brian/tu_e_south_3
R019,smooth/brian/tu_e_south_4
R020,smooth/brian/tu_e_south_5
R021,smooth/brian/tu_e_south_6
R022,smooth/brian/tu_e_south_7
R023,smooth/brian/tu_e_south_8
R024,smooth/brian/tu_e_south_9
R025,smooth/lars/SSC-smooth-test1-lars
R026,smooth/lars/SSC-smooth-test2-lars
R027,smooth/lars/vestdijk_-_1_-_smooth_-_lars
R028,smooth/lars/vestdijk_2_smooth_lars
R029,smooth/lars/vestdijk_3_smooth_lars
R030,smooth/lars/vestdijk_4_smooth_lars
R031,smooth/lars/vestdijk_5_smooth_lars
R032,bumpy/brian/kruisstraat_bumpy_brian_01
R033,bumpy/brian/kruisstraat_bumpy_brian_02
R034,bumpy/brian/kruisstraat_bumpy_brian_03
R035,bumpy/brian/kruisstraat_bumpy_brian_04
R036,bumpy/brian/kruisstraat_bumpy_brian_05
R037,bumpy/brian/kruisstraat_bumpy_brian_06
R038,bumpy/brian/kruisstraat_bumpy_brian_07
R039,bumpy/brian/kruisstraat_bumpy_brian_08
R040,bumpy/brian/kruisstraat_bumpy_brian_09
R041,bumpy/brian/kruisstraat_bumpy_brian_10
